"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,0.818181818181818,0.727272727272727,0.363636363636364,0.776515151515151
"Specificity",0.727272727272727,0.545454545454545,0.909090909090909,1,1,1,0.863636363636363
"Pos Pred Value",0.7,0.615384615384615,0.857142857142857,1,1,1,0.862087912087912
"Neg Pred Value",1,1,0.833333333333333,0.5,0.8,0.5,0.772222222222222
"Precision",0.7,0.615384615384615,0.857142857142857,1,1,1,0.862087912087912
"Recall",1,1,0.75,0.818181818181818,0.727272727272727,0.363636363636364,0.776515151515151
"F1",0.823529411764706,0.761904761904762,0.8,0.9,0.842105263157895,0.533333333333333,0.776812128360116
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.692307692307692,0.347826086956522,0.222222222222222,0.398014499273081
"Detection Prevalence",0.555555555555556,0.684210526315789,0.368421052631579,0.692307692307692,0.347826086956522,0.222222222222222,0.478423855998227
"Balanced Accuracy",0.863636363636364,0.772727272727273,0.829545454545455,0.909090909090909,0.863636363636364,0.681818181818182,0.820075757575758
