"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,0.909090909090909,0.545454545454545,0.454545454545455,0.776515151515151
"Specificity",0.636363636363636,0.636363636363636,0.818181818181818,1,1,1,0.848484848484848
"Pos Pred Value",0.636363636363636,0.666666666666667,0.75,1,1,1,0.842171717171717
"Neg Pred Value",1,1,0.818181818181818,0.666666666666667,0.705882352941177,0.538461538461538,0.7881987293752
"Precision",0.636363636363636,0.666666666666667,0.75,1,1,1,0.842171717171717
"Recall",1,1,0.75,0.909090909090909,0.545454545454545,0.454545454545455,0.776515151515151
"F1",0.777777777777778,0.8,0.75,0.952380952380952,0.705882352941176,0.625,0.768506847183318
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.769230769230769,0.260869565217391,0.277777777777778,0.405601517729664
"Detection Prevalence",0.611111111111111,0.631578947368421,0.421052631578947,0.769230769230769,0.260869565217391,0.277777777777778,0.49527013371407
"Balanced Accuracy",0.818181818181818,0.818181818181818,0.784090909090909,0.954545454545455,0.772727272727273,0.727272727272727,0.8125
