"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,1,0.727272727272727,0.818181818181818,0.882575757575757
"Specificity",0.818181818181818,1,1,0.5,0.833333333333333,1,0.858585858585859
"Pos Pred Value",0.777777777777778,1,1,0.916666666666667,0.8,1,0.915740740740741
"Neg Pred Value",1,1,0.846153846153846,1,0.769230769230769,0.777777777777778,0.898860398860399
"Precision",0.777777777777778,1,1,0.916666666666667,0.8,1,0.915740740740741
"Recall",1,1,0.75,1,0.727272727272727,0.818181818181818,0.882575757575757
"F1",0.875,1,0.857142857142857,0.956521739130435,0.761904761904762,0.9,0.891761559696342
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.846153846153846,0.347826086956522,0.5,0.469951821210403
"Detection Prevalence",0.5,0.421052631578947,0.315789473684211,0.923076923076923,0.434782608695652,0.5,0.515783606172622
"Balanced Accuracy",0.909090909090909,1,0.875,0.75,0.78030303030303,0.909090909090909,0.870580808080808
