"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,1,0.636363636363636,0.636363636363636,0.818181818181818,0.848484848484848
"Specificity",0.909090909090909,0.727272727272727,0.818181818181818,1,0.916666666666667,1,0.89520202020202
"Pos Pred Value",0.875,0.727272727272727,0.8,1,0.875,1,0.879545454545455
"Neg Pred Value",1,1,1,0.333333333333333,0.733333333333333,0.777777777777778,0.807407407407407
"Precision",0.875,0.727272727272727,0.8,1,0.875,1,0.879545454545455
"Recall",1,1,1,0.636363636363636,0.636363636363636,0.818181818181818,0.848484848484848
"F1",0.933333333333333,0.842105263157895,0.888888888888889,0.777777777777778,0.736842105263158,0.9,0.846491228070176
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.421052631578947,0.538461538461538,0.304347826086957,0.5,0.42896725276588
"Detection Prevalence",0.444444444444444,0.578947368421053,0.526315789473684,0.538461538461538,0.347826086956522,0.5,0.48933253795954
"Balanced Accuracy",0.954545454545455,0.863636363636364,0.909090909090909,0.818181818181818,0.776515151515151,0.909090909090909,0.871843434343434
