"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,1,0.875,1,1,0.909090909090909,0.940205627705628
"Specificity",0.818181818181818,1,0.818181818181818,1,0.75,1,0.897727272727273
"Pos Pred Value",0.75,1,0.777777777777778,1,0.785714285714286,1,0.885582010582011
"Neg Pred Value",0.9,1,0.9,1,1,0.875,0.945833333333333
"Precision",0.75,1,0.777777777777778,1,0.785714285714286,1,0.885582010582011
"Recall",0.857142857142857,1,0.875,1,1,0.909090909090909,0.940205627705628
"F1",0.8,1,0.823529411764706,1,0.88,0.952380952380952,0.909318394024276
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.421052631578947,0.368421052631579,0.846153846153846,0.478260869565217,0.555555555555556,0.500462881469746
"Detection Prevalence",0.444444444444444,0.421052631578947,0.473684210526316,0.846153846153846,0.608695652173913,0.555555555555556,0.55826439007217
"Balanced Accuracy",0.837662337662338,1,0.846590909090909,1,0.875,0.954545454545455,0.91896645021645
