"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,0.727272727272727,0.181818181818182,0.272727272727273,0.65530303030303
"Specificity",0.727272727272727,0.545454545454545,0.909090909090909,1,1,1,0.863636363636363
"Pos Pred Value",0.7,0.615384615384615,0.857142857142857,1,1,1,0.862087912087912
"Neg Pred Value",1,1,0.833333333333333,0.4,0.571428571428571,0.466666666666667,0.711904761904762
"Precision",0.7,0.615384615384615,0.857142857142857,1,1,1,0.862087912087912
"Recall",1,1,0.75,0.727272727272727,0.181818181818182,0.272727272727273,0.65530303030303
"F1",0.823529411764706,0.761904761904762,0.8,0.842105263157895,0.307692307692308,0.428571428571429,0.66063386218185
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.615384615384615,0.0869565217391304,0.166666666666667,0.332456466323743
"Detection Prevalence",0.555555555555556,0.684210526315789,0.368421052631579,0.615384615384615,0.0869565217391304,0.166666666666667,0.412865823048889
"Balanced Accuracy",0.863636363636364,0.772727272727273,0.829545454545455,0.863636363636364,0.590909090909091,0.636363636363636,0.759469696969697
