"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,1,1,1,0.909090909090909,0.909090909090909,0.945887445887446
"Specificity",0.909090909090909,1,0.909090909090909,1,1,1,0.96969696969697
"Pos Pred Value",0.857142857142857,1,0.888888888888889,1,1,1,0.957671957671958
"Neg Pred Value",0.909090909090909,1,1,1,0.923076923076923,0.875,0.951194638694639
"Precision",0.857142857142857,1,0.888888888888889,1,1,1,0.957671957671958
"Recall",0.857142857142857,1,1,1,0.909090909090909,0.909090909090909,0.945887445887446
"F1",0.857142857142857,1,0.941176470588235,1,0.952380952380952,0.952380952380952,0.950513538748833
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.421052631578947,0.421052631578947,0.846153846153846,0.434782608695652,0.555555555555556,0.501988434482714
"Detection Prevalence",0.388888888888889,0.421052631578947,0.473684210526316,0.846153846153846,0.434782608695652,0.555555555555556,0.520019623566534
"Balanced Accuracy",0.883116883116883,1,0.954545454545455,1,0.954545454545455,0.954545454545455,0.957792207792208
