"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,0.875,0.875,1,0.818181818181818,0.909090909090909,0.889069264069264
"Specificity",1,0.909090909090909,0.909090909090909,0.5,0.833333333333333,1,0.858585858585858
"Pos Pred Value",1,0.875,0.875,0.916666666666667,0.818181818181818,1,0.914141414141414
"Neg Pred Value",0.916666666666667,0.909090909090909,0.909090909090909,1,0.833333333333333,0.875,0.90719696969697
"Precision",1,0.875,0.875,0.916666666666667,0.818181818181818,1,0.914141414141414
"Recall",0.857142857142857,0.875,0.875,1,0.818181818181818,0.909090909090909,0.889069264069264
"F1",0.923076923076923,0.875,0.875,0.956521739130435,0.818181818181818,0.952380952380952,0.900026905461688
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.368421052631579,0.368421052631579,0.846153846153846,0.391304347826087,0.555555555555556,0.477198198021997
"Detection Prevalence",0.333333333333333,0.421052631578947,0.421052631578947,0.923076923076923,0.478260869565217,0.555555555555556,0.522055324114821
"Balanced Accuracy",0.928571428571429,0.892045454545455,0.892045454545455,0.75,0.825757575757576,0.954545454545455,0.873827561327562
