"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,1,0.727272727272727,1,0.912878787878788
"Specificity",0.818181818181818,0.636363636363636,0.818181818181818,1,0.916666666666667,1,0.86489898989899
"Pos Pred Value",0.777777777777778,0.666666666666667,0.75,1,0.888888888888889,1,0.847222222222222
"Neg Pred Value",1,1,0.818181818181818,1,0.785714285714286,1,0.933982683982684
"Precision",0.777777777777778,0.666666666666667,0.75,1,0.888888888888889,1,0.847222222222222
"Recall",1,1,0.75,1,0.727272727272727,1,0.912878787878788
"F1",0.875,0.8,0.75,1,0.8,1,0.870833333333333
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.846153846153846,0.347826086956522,0.611111111111111,0.488470339728921
"Detection Prevalence",0.5,0.631578947368421,0.421052631578947,0.846153846153846,0.391304347826087,0.611111111111111,0.566866814006402
"Balanced Accuracy",0.909090909090909,0.818181818181818,0.784090909090909,1,0.821969696969697,1,0.888888888888889
