"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.714285714285714,1,0.25,1,0.909090909090909,1,0.812229437229437
"Specificity",1,1,1,1,1,0.714285714285714,0.952380952380952
"Pos Pred Value",1,1,1,1,1,0.846153846153846,0.974358974358974
"Neg Pred Value",0.846153846153846,1,0.647058823529412,1,0.923076923076923,1,0.902714932126697
"Precision",1,1,1,1,1,0.846153846153846,0.974358974358974
"Recall",0.714285714285714,1,0.25,1,0.909090909090909,1,0.812229437229437
"F1",0.833333333333333,1,0.4,1,0.952380952380952,0.916666666666667,0.850396825396825
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.277777777777778,0.421052631578947,0.105263157894737,0.846153846153846,0.434782608695652,0.611111111111111,0.449356855535345
"Detection Prevalence",0.277777777777778,0.421052631578947,0.105263157894737,0.846153846153846,0.434782608695652,0.722222222222222,0.467875374053864
"Balanced Accuracy",0.857142857142857,1,0.625,1,0.954545454545455,0.857142857142857,0.882305194805195
