"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,0.75,0.5,1,0.727272727272727,0.909090909090909,0.814393939393939
"Specificity",0.909090909090909,1,0.909090909090909,1,0.75,0.714285714285714,0.880411255411255
"Pos Pred Value",0.875,1,0.8,1,0.727272727272727,0.833333333333333,0.87260101010101
"Neg Pred Value",1,0.846153846153846,0.714285714285714,1,0.75,0.833333333333333,0.857295482295482
"Precision",0.875,1,0.8,1,0.727272727272727,0.833333333333333,0.87260101010101
"Recall",1,0.75,0.5,1,0.727272727272727,0.909090909090909,0.814393939393939
"F1",0.933333333333333,0.857142857142857,0.615384615384615,1,0.727272727272727,0.869565217391304,0.833783125087473
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.315789473684211,0.210526315789474,0.846153846153846,0.347826086956522,0.555555555555556,0.444123361171416
"Detection Prevalence",0.444444444444444,0.315789473684211,0.263157894736842,0.846153846153846,0.478260869565217,0.666666666666667,0.502412199208538
"Balanced Accuracy",0.954545454545455,0.875,0.704545454545455,1,0.738636363636364,0.811688311688312,0.847402597402598
