"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.625,0.909090909090909,0.818181818181818,0.545454545454545,0.816287878787879
"Specificity",0.727272727272727,1,1,0.5,0.916666666666667,1,0.857323232323232
"Pos Pred Value",0.7,1,1,0.909090909090909,0.9,1,0.918181818181818
"Neg Pred Value",1,1,0.785714285714286,0.5,0.846153846153846,0.583333333333333,0.785866910866911
"Precision",0.7,1,1,0.909090909090909,0.9,1,0.918181818181818
"Recall",1,1,0.625,0.909090909090909,0.818181818181818,0.545454545454545,0.816287878787879
"F1",0.823529411764706,1,0.769230769230769,0.909090909090909,0.857142857142857,0.705882352941176,0.844146050028403
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.263157894736842,0.769230769230769,0.391304347826087,0.333333333333333,0.427827977599144
"Detection Prevalence",0.555555555555556,0.421052631578947,0.263157894736842,0.846153846153846,0.434782608695652,0.333333333333333,0.475672645009029
"Balanced Accuracy",0.863636363636364,1,0.8125,0.704545454545455,0.867424242424242,0.772727272727273,0.836805555555556
