"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,0.75,0.875,1,0.818181818181818,0.818181818181818,0.853084415584415
"Specificity",0.727272727272727,1,0.818181818181818,0.5,1,1,0.840909090909091
"Pos Pred Value",0.666666666666667,1,0.777777777777778,0.916666666666667,1,1,0.893518518518519
"Neg Pred Value",0.888888888888889,0.846153846153846,0.9,1,0.857142857142857,0.777777777777778,0.878327228327228
"Precision",0.666666666666667,1,0.777777777777778,0.916666666666667,1,1,0.893518518518519
"Recall",0.857142857142857,0.75,0.875,1,0.818181818181818,0.818181818181818,0.853084415584415
"F1",0.75,0.857142857142857,0.823529411764706,0.956521739130435,0.9,0.9,0.864532334673
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.315789473684211,0.368421052631579,0.846153846153846,0.391304347826087,0.5,0.459167008938176
"Detection Prevalence",0.5,0.315789473684211,0.473684210526316,0.923076923076923,0.391304347826087,0.5,0.51730915918559
"Balanced Accuracy",0.792207792207792,0.875,0.846590909090909,0.75,0.909090909090909,0.909090909090909,0.846996753246753
