"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,1,0.909090909090909,0.727272727272727,0.909090909090909,0.924242424242424
"Specificity",0.727272727272727,0.818181818181818,0.818181818181818,0.5,0.916666666666667,1,0.796717171717172
"Pos Pred Value",0.7,0.8,0.8,0.909090909090909,0.888888888888889,1,0.8496632996633
"Neg Pred Value",1,1,1,0.5,0.785714285714286,0.875,0.860119047619048
"Precision",0.7,0.8,0.8,0.909090909090909,0.888888888888889,1,0.8496632996633
"Recall",1,1,1,0.909090909090909,0.727272727272727,0.909090909090909,0.924242424242424
"F1",0.823529411764706,0.888888888888889,0.888888888888889,0.909090909090909,0.8,0.952380952380952,0.877129841835724
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.421052631578947,0.769230769230769,0.347826086956522,0.555555555555556,0.483934427298272
"Detection Prevalence",0.555555555555556,0.526315789473684,0.526315789473684,0.846153846153846,0.391304347826087,0.555555555555556,0.566866814006402
"Balanced Accuracy",0.863636363636364,0.909090909090909,0.909090909090909,0.704545454545455,0.821969696969697,0.954545454545455,0.860479797979798
