"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,1,0.909090909090909,0.818181818181818,0.912878787878788
"Specificity",1,0.818181818181818,1,0,0.75,0.857142857142857,0.737554112554113
"Pos Pred Value",1,0.8,1,0.846153846153846,0.769230769230769,0.9,0.885897435897436
"Neg Pred Value",1,1,0.846153846153846,NA,0.9,0.75,NA
"Precision",1,0.8,1,0.846153846153846,0.769230769230769,0.9,0.885897435897436
"Recall",1,1,0.75,1,0.909090909090909,0.818181818181818,0.912878787878788
"F1",1,0.888888888888889,0.857142857142857,0.916666666666667,0.833333333333333,0.857142857142857,0.892195767195767
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.846153846153846,0.434782608695652,0.5,0.484444574833591
"Detection Prevalence",0.388888888888889,0.526315789473684,0.315789473684211,1,0.565217391304348,0.555555555555556,0.558627849817781
"Balanced Accuracy",1,0.909090909090909,0.875,0.5,0.829545454545455,0.837662337662338,0.82521645021645
