"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.875,0.636363636363636,0.636363636363636,0.636363636363636,0.797348484848485
"Specificity",0.636363636363636,0.545454545454545,0.727272727272727,1,0.916666666666667,1,0.804292929292929
"Pos Pred Value",0.636363636363636,0.615384615384615,0.7,1,0.875,1,0.804458041958042
"Neg Pred Value",1,1,0.888888888888889,0.333333333333333,0.733333333333333,0.636363636363636,0.765319865319865
"Precision",0.636363636363636,0.615384615384615,0.7,1,0.875,1,0.804458041958042
"Recall",1,1,0.875,0.636363636363636,0.636363636363636,0.636363636363636,0.797348484848485
"F1",0.777777777777778,0.761904761904762,0.777777777777778,0.777777777777778,0.736842105263158,0.777777777777778,0.768309663046505
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.368421052631579,0.538461538461538,0.304347826086957,0.388888888888889,0.4016768044228
"Detection Prevalence",0.611111111111111,0.684210526315789,0.526315789473684,0.538461538461538,0.347826086956522,0.388888888888889,0.516135656867922
"Balanced Accuracy",0.818181818181818,0.772727272727273,0.801136363636364,0.818181818181818,0.776515151515151,0.818181818181818,0.800820707070707
