"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.875,0.636363636363636,0.363636363636364,0.636363636363636,0.751893939393939
"Specificity",0.727272727272727,0.545454545454545,1,1,0.916666666666667,1,0.86489898989899
"Pos Pred Value",0.7,0.615384615384615,1,1,0.8,1,0.852564102564103
"Neg Pred Value",1,1,0.916666666666667,0.333333333333333,0.611111111111111,0.636363636363636,0.749579124579125
"Precision",0.7,0.615384615384615,1,1,0.8,1,0.852564102564103
"Recall",1,1,0.875,0.636363636363636,0.363636363636364,0.636363636363636,0.751893939393939
"F1",0.823529411764706,0.761904761904762,0.933333333333333,0.777777777777778,0.5,0.777777777777778,0.76238717709306
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.368421052631579,0.538461538461538,0.173913043478261,0.388888888888889,0.379937673988017
"Detection Prevalence",0.555555555555556,0.684210526315789,0.368421052631579,0.538461538461538,0.217391304347826,0.388888888888889,0.458821477700196
"Balanced Accuracy",0.863636363636364,0.772727272727273,0.9375,0.818181818181818,0.640151515151515,0.818181818181818,0.808396464646465
