"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,1,0.875,0.818181818181818,0.818181818181818,1,0.894751082251082
"Specificity",0.909090909090909,0.818181818181818,0.909090909090909,1,0.833333333333333,1,0.911616161616161
"Pos Pred Value",0.857142857142857,0.8,0.875,1,0.818181818181818,1,0.891720779220779
"Neg Pred Value",0.909090909090909,1,0.909090909090909,0.5,0.833333333333333,1,0.858585858585858
"Precision",0.857142857142857,0.8,0.875,1,0.818181818181818,1,0.891720779220779
"Recall",0.857142857142857,1,0.875,0.818181818181818,0.818181818181818,1,0.894751082251082
"F1",0.857142857142857,0.888888888888889,0.875,0.9,0.818181818181818,1,0.889868927368927
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.421052631578947,0.368421052631579,0.692307692307692,0.391304347826087,0.611111111111111,0.469588361464791
"Detection Prevalence",0.388888888888889,0.526315789473684,0.421052631578947,0.692307692307692,0.478260869565217,0.611111111111111,0.519656163820923
"Balanced Accuracy",0.883116883116883,0.909090909090909,0.892045454545455,0.909090909090909,0.825757575757576,1,0.903183621933622
