"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,1,1,0.909090909090909,1,1,0.961038961038961
"Specificity",0.818181818181818,0.818181818181818,1,1,0.833333333333333,1,0.911616161616161
"Pos Pred Value",0.75,0.8,1,1,0.846153846153846,1,0.899358974358974
"Neg Pred Value",0.9,1,1,0.666666666666667,1,1,0.927777777777778
"Precision",0.75,0.8,1,1,0.846153846153846,1,0.899358974358974
"Recall",0.857142857142857,1,1,0.909090909090909,1,1,0.961038961038961
"F1",0.8,0.888888888888889,1,0.952380952380952,0.916666666666667,1,0.926322751322751
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.421052631578947,0.421052631578947,0.769230769230769,0.478260869565217,0.611111111111111,0.505673557733054
"Detection Prevalence",0.444444444444444,0.526315789473684,0.421052631578947,0.769230769230769,0.565217391304348,0.611111111111111,0.556228689523884
"Balanced Accuracy",0.837662337662338,0.909090909090909,1,0.954545454545455,0.916666666666667,1,0.936327561327562
